MaChatLieu,TenChatLieu,MaSP,DacTinh,NganhNghe
CL0001,Cotton 100%,SP00000001,"Mềm mịn, thấm hút mồ hôi",Thời trang hè
CL0002,Cotton 100%,SP00000002,"Mềm mịn, thấm hút mồ hôi",Thời trang hè
CL0003,Denim,SP00000003,"Dày dặn, bền màu",Thời trang thường ngày
CL0004,Denim,SP00000004,"Dày dặn, bền màu",Thời trang thường ngày
CL0005,Voan,SP00000005,"Mỏng, nhẹ, bay bổng","Thời trang nữ, hè"
CL0006,Voan,SP00000006,"Mỏng, nhẹ, bay bổng","Thời trang nữ, hè"
CL0007,Kate,SP00000007,"Ít nhăn, đứng form","Công sở, học sinh"
CL0008,Kate,SP00000008,"Ít nhăn, đứng form","Công sở, học sinh"
CL0009,Lụa Tơ Tằm,SP00000009,"Mềm mại, bóng nhẹ, thoáng mát","Dự tiệc, đi biển"
CL0010,Kaki,SP00000010,"Cứng cáp, bền",Thời trang thường ngày
CL0011,Kaki,SP00000011,"Cứng cáp, bền",Thời trang thường ngày
CL0012,Polyester (Dù),SP00000012,"Chống thấm nước nhẹ, nhẹ","Áo khoác, thể thao"
CL0013,Polyester (Dù),SP00000013,"Chống thấm nước nhẹ, nhẹ","Áo khoác, thể thao"
CL0014,Thun lạnh,SP00000014,"Co giãn tốt, mát",Thể thao
CL0015,Tuytsi,SP00000015,"Đứng form, sang trọng",Công sở
CL0016,Kate Ford,SP00000016,"Dày dặn, ít nhăn",Công sở
CL0017,Kate Ford,SP00000017,"Dày dặn, ít nhăn",Công sở
CL0018,Len lông cừu,SP00000018,"Giữ ấm tốt, mềm mại",Thời trang đông
CL0019,Ren,SP00000019,"Mỏng, tinh tế, gợi cảm",Dự tiệc
CL0020,Cotton Pique,SP00000020,"Mắt vải to, thoáng khí","Áo Polo, thể thao"
CL0021,Cotton Pique,SP00000021,"Mắt vải to, thoáng khí","Áo Polo, thể thao"
CL0022,Vải tuyết mưa,SP00000022,"Co giãn nhẹ, không nhăn",Công sở
CL0023,Vải tuyết mưa,SP00000023,"Co giãn nhẹ, không nhăn",Công sở
CL0024,Nỉ da cá,SP00000024,"Ấm áp, thấm hút mồ hôi",Thể thao
CL0025,Thun Borip,SP00000025,"Co giãn, ôm dáng",Thời trang nữ
CL0026,Nỉ bông,SP00000026,"Dày, ấm, mềm",Thời trang đông
CL0027,Nỉ bông,SP00000027,"Dày, ấm, mềm",Thời trang đông
CL0028,Voan lụa,SP00000028,"Nhẹ, rũ, thoáng",Thời trang nữ
CL0029,Denim mỏng,SP00000029,"Mềm hơn denim thường, nhẹ",Thời trang trẻ
CL0030,Len dệt kim,SP00000030,"Giữ ấm, kiểu cách",Thời trang thu đông
CL0031,Đũi,SP00000031,"Mát, nhẹ, hơi nhăn","Thời trang hè, mặc nhà"
CL0032,Nỉ,SP00000032,"Ấm, co giãn","Thể thao, mặc nhà"
CL0033,Spandex,SP00000033,Co giãn cực tốt,"Đồ thể thao, đồ lót"
