MaLoai,TenLoai,CongDung
LSPA,Áo,"Mặc hàng ngày, đi chơi"
LSPAHD,Áo Hoodie,"Thể thao, giữ ấm"
LSPAK,Áo Khoác,"Chống nắng, giữ ấm"
LSPAPL,Áo Polo,"Lịch sự, thể thao nhẹ"
LSPAS,Áo Sơ Mi,"Công sở, lịch sự"
LSPAT,Áo Thun,"Mặc hàng ngày, thể thao"
LSPBLA,Blazer,"Công sở, lịch sự"
LSPBRA,Áo Bra,Thể thao
LSPCRO,Áo Croptop,"Đi chơi, năng động"
LSPD,Đầm,"Dự tiệc, sự kiện"
LSPDDC,Đầm Dạ Hội,Sự kiện quan trọng
LSPDM,Đầm Maxi,"Đi biển, dạo phố"
LSPDOL,Đồ lót,Mặc bên trong
LSPDS,Đầm Suông,"Mặc hàng ngày, thoải mái"
LSPGHI,Áo Gile,"Thời trang, công sở"
LSPJUM,Jumpsuit,"Dự tiệc, đi chơi"
LSPLEN,Áo Len,"Giữ ấm, mùa đông"
LSPQ,Quần,"Mặc hàng ngày, công sở"
LSPQCU,Quần Culottes,"Thời trang, thoải mái"
LSPQJ,Quần Jean,"Mặc hàng ngày, đi chơi"
LSPQJO,Quần Jogger,"Thể thao, năng động"
LSPQKA,Quần Kaki,"Công sở, đi chơi"
LSPQNI,Quần Nỉ,"Thể thao, mặc nhà"
LSPQS,Quần Short,"Đi chơi, mặc nhà, thể thao"
LSPQT,Quần Tây,"Công sở, lịch sự"
LSPSQA,Set Quần Áo,"Mặc nhà, thể thao"
LSPSVA,Set Váy Áo,"Đi chơi, dạo phố"
LSPV,Váy,"Đi chơi, dự tiệc"
LSPVC,Váy Chữ A,"Công sở, đi chơi"
LSPVO,Váy Ôm,"Dự tiệc, gợi cảm"
LSPVX,Váy Xòe,"Đi chơi, dự tiệc nhẹ"
LSPYEM,Yếm,"Đi chơi, trẻ trung"
